date,outcome,competition,TerStegen1p,TerStegen3p,TerStegen5p,Kounde1p,Kounde3p,Kounde5p,Cancelo1p,Cancelo3p,Cancelo5p,Cristensen1p,Cristensen3p,Cristensen5p,Araujo1p,Araujo3p,Araujo5p,Balde1p,Balde3p,Balde5p,Iñigo1p,Iñigo3p,Iñigo5p,SergiRoberto1p,SergiRoberto3p,SergiRoberto5p,Gavi1p,Gavi3p,Gavi5p,DeJong1p,DeJong3p,DeJong5p,Romeu1p,Romeu3p,Romeu5p,Gundogan1p,Gundogan3p,Gundogan5p,Pedri1p,Pedri3p,Pedri5p,Joao Felix1p,Joao Felix3p,Joao Felix5p,Abde1p,Abde3p,Abde5p,Guiu1p,Guiu3p,Guiu5p,Ferran1p,Ferran3p,Ferran5p,Raphinha1p,Raphinha3p,Raphinha5p,Lewandowski1p,Lewandowski3p,Lewandowski5p,Fermin1p,Fermin3p,Fermin5p,Lamine1p,Lamine3p,Lamine5p,Ansu1p,Ansu3p,Ansu5p
13-8,E,0,,,,2,,,,,,,,,3,1,,,,,,,,,,,,,,,1,7,,4,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,
20-8,V,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,2,4,,,2,3,,,,,,,,,,,,,,,,,,,,,,,1,4,,,
27-8,V,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,1,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,8,,,
3-9,V,0,2,,,3,1,4,,,,,,,,,,,,,,,,,,,,,,1,3,3,,,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-9,V,0,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,6,,,,,,,6,,,,,,,,,,,,,,,,,
19-9,V,1,,,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,2,,,,,,3,3,,,,,,,9,,,,,,,,,,,,,,2,,,,,,,,,,
23-9,V,0,3,4,1,,,,,2,1,,,,2,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,6,,,,,,,,,
26-9,E,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,6,,,1,6,1,,,
29-9,V,0,,,,,3,,1,,,1,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,4,,,,
4-10,V,1,2,2,3,3,1,4,0,0,0,,,,1,3,0,,,,,,,,,,0,1,0,,,,,,,0,1,0,,,,2,0,0,,,,,,,1,0,1,,,,,,,0,0,0,0,1,1,,,
9-10,E,0,,,,,,,,,,3,1,,1,3,1,,1,,,,,4,,,,,1,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
22-10,V,0,4,2,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,1,3,,,,2,1,5,,,,,,,,,,1,,,,,,,,
25-10,V,1,,,,,,,,,,,,,2,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,9,5,1,,,,
28-10,D,0,,,,,,,,,,1,,,1,,,,,,2,,,,,,,,8,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
